Id;Culture;Text
1;0;Vrindavan is a town in the Mathura district of Uttar Pradesh, India. It is the site where Lord Krishna spent his childhood days. The town is about 10 km away from Mathura, Krishna's birthplace. The town hosts many temples dedicated to the worship of Radha and Krishna and is considered sacred by Vaishnavism.
1;1;"Вриндаван или Бриндабан— город в округе Матхура штата Уттар-Прадеш, Индия. Является святым местом паломничества для последователей вайшнавизма. На месте современного Вриндавана в древности находился лес, в котором Кришна во время своего земного воплощения 5000 лет назад проводил свои божественные игры. Вриндаван находится в 15 километрах от города Матхуры, который является местом рождения Кришны. 
Вриндаван также называют «городом 5000 храмов»."
2;0;Vrindavan
2;1;Вриндаван
3;0;"Puri is a city and a Municipality of Odisha. It is the district headquarters of Puri district, Odisha, eastern India. It is situated on the Bay of Bengal, 60 kilometres (37 mi) south of the state capital of Bhubaneswar. It is also known as Jagannath Puri after the 12th-century Jagannath Temple located in the city. It is one of the original Char Dham pilgrimage sites for Indian Hindus. "
3;1;"Джаганнатха Пури находится на расстоянии 60 км. от столицы штата Ориссы, города Бубанешвара. Город считается одним из четырех обязательных мест (дхам), которые должен посетить каждый хинду. Особенно Пури почитается у вайшнавов, как место, в котором господь Кришна присутствует в форме Джаганнатха, Господа Вселенной, а также является местом многих из игр Шри Чайтаньи Махапрабху. "
4;0;Jagannatha Puri
4;1;Джаганнатха Пури
5;0;"This beautiful temple was established in 1975 by His Divine Grace A.C. Bhaktivendanta Swami Prahhupada, founder-acarya of the International Society for Krishna Consciousness (lSKCON) and has now become Vrndavana's most popular temple. Hare Krishna devotees from around the world can be seen here throughout the year, bringing a truly international flavour to this ancient holy city. 

The central Deities are Sri Sri Krishna Balarama and on the right alter is Sri Sri Radha Syamasundara and the gopis Lalita and Visakha. On the left alter is Lord Chaitanya and Lord Nityananda, along with the murtis of Srila Prabhupada and his spiritual master Srila Bhaktisiddhanta Sarasvati Gosvami. Of all the temples in Vrndavana, the Krishna Balarama Mandir has one of the highest standards of Deity worship and cleanliness. The devotees of the Hare Krishna movement (lSKCON) follow strictly the principles of Vaisnava Dharma and observe our rules 1) No meat, fish or eggs; 2) No illicit sex; 3) No gambling; and 4) No intoxicating including tea or coffee. Besides this, all members are required to rise before 4 am. take bath. and attend the mangala arati ceremony in the temple. They are also required to chant on japa beads sixteen rounds or 27,000 names of God daily. 


Timings: 
Mangala Arati 4:15 am. Darsana 7:15 am —11:00 am 
Raj Bhoga Arati 12 noon—12:30
Evening Darsana—Winter 4:00 pm—8:30 pm. Summer 4:30 pm - 8:45 pm.
"
5;1;"Этот великолепный храм был сооружен в 1975 году Его Божественной Милостью А. Ч. Бхактиведантой Свами Прабхупадой, ачарией - основателем ИСККОН, и является сегодня одним из самых популярных храмов во Вриндаване. Преданных Харе Кришна со всего мира можно видеть здесь круглогодично, что придает этому древнему священному городу особый интернациональный колорит.
Главными Божествами храма являются Шри Шри Кришна-Баларама и, на правом алтаре, Шри Шри Радха-Шьямасундара с гопи Лалитой и Вишакхой. На левом алтаре стоит Господь Чайтанья с Господом Нитьянандой, а рядом мурти Шрилы Прабхупады и его духовного учителя Шрилы Бхактисиддханты Сарасвати Госвами. Из всех вриндаванских храмов в Кришна-Баларам-мандире принят один из высочайших стандартов чистоты и поклонения Божествам. Преданные движения Харе Кришна (ИСК-КОН) неукоснительно следуют принципам Вайшнавской Дхармы: 1) Не есть мяса, рыбы или яиц; 2) не заниматься незаконным сексом; 3) не участвовать в азартных играх; и 4) не подвергаться никаким видам интоксикаций, включая чай или кофе. Кроме этого, их день начинается с 4-х часов утра с принятия омовения и посещения церемонии мангала-арати. 
Храм открыт:
Мангала 4.30, даршан 7:15-11:00
Радж бхога-арати — 12:00-12:30
Вечернее арати зимой 16:00-20:30, летом — 16:30-20:45
"
6;0;Vrindavan
6;1;Вриндаван
7;0;Krishna Balarama Mandir
